[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
DEFAULTS_NOT_CONFIGURED,Not Configured Default Accounts,Not Configured Default Accounts,A,,Y,Y,,
B_ASSET,Bank Asset,Bank Asset,A,,Y,N,B_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
B_INTRANSIT,Bank In Transit,Bank In Transit,A,,Y,N,B_INTRANSIT_ACCT,DEFAULTS_NOT_CONFIGURED
B_UNALLOCATEDCASH,Bank Unallocated Cash,Bank Unallocated Cash,A,,Y,N,B_UNALLOCATEDCASH_ACCT,DEFAULTS_NOT_CONFIGURED
B_PAYMENTSELECT,Payment Selection,Payment Selection,L,,Y,N,B_PAYMENTSELECT_ACCT,DEFAULTS_NOT_CONFIGURED
B_INTERESTREV,Interest Revenue,Interest Revenue,R,,Y,N,B_INTERESTREV_ACCT,DEFAULTS_NOT_CONFIGURED
B_INTERESTEXP,Interest Expense,Interest Expense,E,,Y,N,B_INTERESTEXP_ACCT,DEFAULTS_NOT_CONFIGURED
CB_ASSET,Petty Cash Asset,Petty Cash Asset,A,,Y,N,CB_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
CB_CASHTRANSFER,Petty Cash In Transfer,Petty Cash In Transfer,A,,Y,N,CB_CASHTRANSFER_ACCT,DEFAULTS_NOT_CONFIGURED
CB_DIFFERENCES,Petty Cash Differences,Petty Cash Differences,E,,Y,N,CB_DIFFERENCES_ACCT,DEFAULTS_NOT_CONFIGURED
CB_EXPENSE,Petty Cash Expense,Petty Cash Expense,E,,Y,N,CB_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
CB_RECEIPT,Petty Cash Receipt,Petty Cash Receipt,R,,Y,N,CB_RECEIPT_ACCT,DEFAULTS_NOT_CONFIGURED
C_RECEIVABLE,Customer Receivable,Customer Receivable,A,,Y,N,C_RECEIVABLE_ACCT,DEFAULTS_NOT_CONFIGURED
C_RECEIVABLE_SERVICES,Customer Receivable Services,Customer Receivable Services,A,,Y,N,C_RECEIVABLE_SERVICES_ACCT,DEFAULTS_NOT_CONFIGURED
C_PREPAYMENT,Customer Prepayment,Customer Prepayment,L,,Y,N,C_PREPAYMENT_ACCT,DEFAULTS_NOT_CONFIGURED
V_LIABILITY,Vendor Liability,Vendor Liability,L,,Y,N,V_LIABILITY_ACCT,DEFAULTS_NOT_CONFIGURED
V_LIABILITY_SERVICES,Vendor Liability Services,Vendor Liability Services,L,,Y,N,V_LIABILITY_SERVICES_ACCT,DEFAULTS_NOT_CONFIGURED
V_PREPAYMENT,Vendor Prepayment,Vendor Prepayment,A,,Y,N,V_PREPAYMENT_ACCT,DEFAULTS_NOT_CONFIGURED
P_REVENUE,Product Revenue,Product Revenue,R,,Y,N,P_REVENUE_ACCT,DEFAULTS_NOT_CONFIGURED
P_EXPENSE,Product Expense,Product Expense,E,,Y,N,P_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
P_ASSET,Product Asset,Product Asset,A,,Y,N,P_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
P_COGS,Product COGS,Product COGS,E,,Y,N,P_COGS_ACCT,DEFAULTS_NOT_CONFIGURED
P_PURCHASEPRICEVARIANCE,Purchase Price Variance,Purchase Price Variance,E,,Y,N,P_PURCHASEPRICEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_INVOICEPRICEVARIANCE,Invoice Price Variance,Invoice Price Variance,E,,Y,N,P_INVOICEPRICEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_TRADEDISCOUNTREC,Trade Discount Received,Trade Discount Received,R,,Y,N,P_TRADEDISCOUNTREC_ACCT,DEFAULTS_NOT_CONFIGURED
P_TRADEDISCOUNTGRANT,Trade Discount Granted,Trade Discount Granted,E,,Y,N,P_TRADEDISCOUNTGRANT_ACCT,DEFAULTS_NOT_CONFIGURED
P_COSTOFPRODUCTION,Cost of Production,Cost of Production,E,,Y,N,P_COSTOFPRODUCTION_ACCT,DEFAULTS_NOT_CONFIGURED
P_LABOR,Labor Cost,Labor Cost,E,,Y,N,P_LABOR_ACCT,DEFAULTS_NOT_CONFIGURED
P_BURDEN,Burden Cost,Burden Cost,E,,Y,N,P_BURDEN_ACCT,DEFAULTS_NOT_CONFIGURED
P_OUTSIDEPROCESSING,Outside Processing,Outside Processing,E,,Y,N,P_OUTSIDEPROCESSING_ACCT,DEFAULTS_NOT_CONFIGURED
P_OVERHEAD,Overhead Cost,Overhead Cost,E,,Y,N,P_OVERHEAD_ACCT,DEFAULTS_NOT_CONFIGURED
P_SCRAP,Scrap,Scrap,E,,Y,N,P_SCRAP_ACCT,DEFAULTS_NOT_CONFIGURED
P_WIP,Work In Progress,Work In Progress,A,,Y,N,P_WIP_ACCT,DEFAULTS_NOT_CONFIGURED
P_METHODCHANGEVARIANCE,Method Change Variance,Method Change Variance,E,,Y,N,P_METHODCHANGEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_USAGEVARIANCE,Usage Variance,Usage Variance,E,,Y,N,P_USAGEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_RATEVARIANCE,Rate Variance,Rate Variance,E,,Y,N,P_RATEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_MIXVARIANCE,Mix Variance,Mix Variance,E,,Y,N,P_MIXVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_FLOORSTOCK,Floor Stock,Floor Stock,E,,Y,N,P_FLOORSTOCK_ACCT,DEFAULTS_NOT_CONFIGURED
P_COSTADJUSTMENT,Cost Adjustment,Cost Adjustment,E,,Y,N,P_COSTADJUSTMENT_ACCT,DEFAULTS_NOT_CONFIGURED
P_INVENTORYCLEARING,Inventory Clearing,Inventory Clearing,E,,Y,N,P_INVENTORYCLEARING_ACCT,DEFAULTS_NOT_CONFIGURED
P_FREIGHT,Freight Cost,Freight Cost,E,,Y,N,P_FREIGHT_ACCT,DEFAULTS_NOT_CONFIGURED
T_DUE,Tax Due,Tax Due,L,,Y,N,T_DUE_ACCT,DEFAULTS_NOT_CONFIGURED
T_CREDIT,Tax Credit,Tax Credit,A,,Y,N,T_CREDIT_ACCT,DEFAULTS_NOT_CONFIGURED
T_EXPENSE,Tax Expense,Tax Expense,E,,Y,N,T_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
W_DIFFERENCES,Warehouse Differences,Warehouse Differences,E,,Y,N,W_DIFFERENCES_ACCT,DEFAULTS_NOT_CONFIGURED
W_INVACTUALADJUST,Inventory Actual Adjustment,Inventory Actual Adjustment,E,,Y,N,W_INVACTUALADJUST_ACCT,DEFAULTS_NOT_CONFIGURED
W_REVALUATION,Inventory Revaluation,Inventory Revaluation,E,,Y,N,W_REVALUATION_ACCT,DEFAULTS_NOT_CONFIGURED
PJ_ASSET,Project Asset,Project Asset,A,,Y,N,PJ_ASSET_ACCT,DEFAULTS_NOT_CONFIGURED
PJ_WIP,Project WIP,Project WIP,A,,Y,N,PJ_WIP_ACCT,DEFAULTS_NOT_CONFIGURED
CH_EXPENSE,Charge Expense,Charge Expense,E,,Y,N,CH_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
CH_REVENUE,Charge Revenue,Charge Revenue,R,,Y,N,CH_REVENUE_ACCT,DEFAULTS_NOT_CONFIGURED
UNREALIZEDGAIN,Unrealized Gain,Unrealized Gain,R,,Y,N,UNREALIZEDGAIN_ACCT,DEFAULTS_NOT_CONFIGURED
UNREALIZEDLOSS,Unrealized Loss,Unrealized Loss,E,,Y,N,UNREALIZEDLOSS_ACCT,DEFAULTS_NOT_CONFIGURED
REALIZEDGAIN,Realized Gain,Realized Gain,R,,Y,N,REALIZEDGAIN_ACCT,DEFAULTS_NOT_CONFIGURED
REALIZEDLOSS,Realized Loss,Realized Loss,E,,Y,N,REALIZEDLOSS_ACCT,DEFAULTS_NOT_CONFIGURED
CURRENCYBALANCING,Currency Balancing,Currency Balancing,E,,Y,N,CURRENCYBALANCING_ACCT,DEFAULTS_NOT_CONFIGURED
DEFAULT,Default Account,Default Account,E,,Y,N,DEFAULT_ACCT,DEFAULTS_NOT_CONFIGURED
SUSPENSEBALANCING,Suspense Balancing,Suspense Balancing,E,,Y,N,SUSPENSEBALANCING_ACCT,DEFAULTS_NOT_CONFIGURED
RETAINEDEARNING,Retained Earnings,Retained Earnings,L,,Y,N,RETAINEDEARNING_ACCT,DEFAULTS_NOT_CONFIGURED
INCOMESUMMARY,Income Summary,Income Summary,L,,Y,N,INCOMESUMMARY_ACCT,DEFAULTS_NOT_CONFIGURED
COMMITMENTOFFSET,PO Commitment Offset,PO Commitment Offset,M,,Y,N,COMMITMENTOFFSET_ACCT,DEFAULTS_NOT_CONFIGURED
COMMITMENTOFFSETSALES,SO Commitment Offset,SO Commitment Offset,M,,Y,N,COMMITMENTOFFSETSALES_ACCT,DEFAULTS_NOT_CONFIGURED
